ID,GrossMonthlyIncome,CreditCardPayment,CarPayment,StudentLoanPayments,AppraisedValue,DownPayment,LoanAmount,MonthlyMortgagePayment,CreditScore
880,2812.00,430.00,455.00,274.00,437111.00,52453.32,384657.68,2822.48,534
881,9238.00,321.00,382.00,225.00,313609.00,65857.89,247751.11,1817.91,599
882,9335.00,315.00,387.00,275.00,275234.00,60551.48,214682.52,905.11,822
883,8346.00,318.00,433.00,225.00,439925.00,35194.00,404731.00,2172.68,726
884,6419.00,241.00,489.00,233.00,393919.00,102418.94,291500.06,2138.92,589
885,9030.00,466.00,449.00,210.00,300089.00,30008.90,270080.10,1981.75,555
886,8199.00,390.00,495.00,445.00,435388.00,78369.84,357018.16,2140.50,663
887,4562.00,234.00,393.00,226.00,495395.00,123848.75,371546.25,1566.45,814
888,9516.00,464.00,478.00,311.00,481725.00,24086.25,457638.75,2456.70,724
889,4750.00,249.00,439.00,409.00,295871.00,29587.10,266283.90,1953.90,550
890,7194.00,225.00,389.00,291.00,441789.00,35343.12,406445.88,2181.89,715
891,3010.00,232.00,480.00,310.00,414942.00,112034.34,302907.66,1626.07,723
892,8189.00,403.00,428.00,209.00,272343.00,54468.60,217874.40,1040.17,783
893,3473.00,467.00,418.00,248.00,239419.00,11970.95,227448.05,958.93,804
894,9739.00,473.00,369.00,278.00,454487.00,36358.96,418128.04,2781.82,643
895,8808.00,323.00,478.00,408.00,458011.00,96182.31,361828.69,2654.97,515
896,7510.00,341.00,381.00,256.00,341283.00,61430.94,279852.06,1336.06,764
897,5137.00,373.00,375.00,308.00,232611.00,44196.09,188414.91,794.36,818
898,7556.00,344.00,456.00,349.00,478196.00,28691.76,449504.24,2695.01,660
899,6031.00,243.00,364.00,311.00,386138.00,73366.22,312771.78,1493.22,769
900,2274.00,463.00,406.00,449.00,429234.00,85846.80,343387.20,2519.65,535
901,6826.00,419.00,439.00,282.00,400675.00,100168.75,300506.25,1266.95,809
902,3822.00,343.00,458.00,323.00,327508.00,58951.44,268556.56,1970.57,543
903,4427.00,496.00,356.00,325.00,444376.00,26662.56,417713.44,3065.03,563
904,3998.00,347.00,373.00,368.00,381507.00,68671.26,312835.74,2295.48,591
905,9394.00,418.00,468.00,448.00,398904.00,79780.80,319123.20,1913.30,688
906,9749.00,371.00,406.00,443.00,306147.00,39799.11,266347.89,1122.93,841
907,4147.00,489.00,384.00,200.00,353348.00,70669.60,282678.40,1349.55,779
908,9301.00,491.00,457.00,348.00,375269.00,105075.32,270193.68,1982.59,520
909,3407.00,285.00,418.00,343.00,366084.00,76877.64,289206.36,1552.52,711
910,3810.00,423.00,373.00,256.00,255117.00,20409.36,234707.64,1120.53,780
911,7624.00,236.00,385.00,332.00,336452.00,53832.32,282619.68,1191.54,827
912,9954.00,243.00,486.00,305.00,247923.00,34709.22,213213.78,1017.92,786
913,2862.00,260.00,393.00,308.00,353311.00,95393.97,257917.03,1087.39,843
914,7488.00,303.00,352.00,209.00,470253.00,98753.13,371499.87,2725.93,579
915,9115.00,331.00,374.00,224.00,251769.00,70495.32,181273.68,973.12,722
916,3156.00,349.00,490.00,398.00,266437.00,69273.62,197163.38,1446.72,508
917,2132.00,294.00,430.00,245.00,492024.00,123006.00,369018.00,2707.72,572
918,5577.00,453.00,409.00,269.00,489065.00,78250.40,410814.60,2205.34,733
919,5585.00,373.00,365.00,316.00,380403.00,68472.54,311930.46,1674.51,720
920,5085.00,429.00,496.00,442.00,242299.00,58151.76,184147.24,1351.21,528
921,5039.00,413.00,363.00,213.00,427839.00,115516.53,312322.47,1872.53,678
922,7832.00,451.00,407.00,324.00,408132.00,118358.28,289773.72,2126.26,513
923,5550.00,384.00,427.00,249.00,426314.00,76736.52,349577.48,2095.89,670
924,7302.00,246.00,452.00,287.00,413054.00,95002.42,318051.58,2116.01,609
925,6333.00,451.00,479.00,245.00,443319.00,110829.75,332489.25,1784.87,726
926,3197.00,405.00,495.00,375.00,269815.00,35075.95,234739.05,1722.43,502
927,2632.00,413.00,475.00,415.00,460154.00,96632.34,363521.66,2418.52,634
928,4942.00,459.00,448.00,238.00,426219.00,98030.37,328188.63,1967.66,689
929,4964.00,453.00,473.00,203.00,282298.00,31052.78,251245.22,1843.55,535
930,9001.00,239.00,497.00,275.00,308001.00,15400.05,292600.95,2147.00,513
931,8514.00,402.00,390.00,205.00,350580.00,80633.40,269946.60,1980.77,584
932,5410.00,381.00,423.00,343.00,484107.00,62933.91,421173.09,3090.42,501
933,9458.00,208.00,418.00,324.00,309805.00,40274.65,269530.35,1615.97,676
934,6035.00,395.00,433.00,318.00,385221.00,50078.73,335142.27,1799.12,701
935,7902.00,427.00,497.00,339.00,404214.00,101053.50,303160.50,2224.48,550
936,5083.00,461.00,422.00,417.00,277687.00,61091.14,216595.86,1589.30,590
937,3103.00,459.00,366.00,240.00,461817.00,129308.76,332508.24,1784.98,727
938,9233.00,373.00,493.00,372.00,424127.00,89066.67,335060.33,2229.16,626
939,7506.00,283.00,468.00,422.00,474595.00,128140.65,346454.35,2304.97,700
940,4573.00,263.00,493.00,373.00,419813.00,113349.51,306463.49,1463.10,795
941,7308.00,271.00,354.00,207.00,340018.00,85004.50,255013.50,1075.15,840
942,3087.00,261.00,354.00,398.00,377307.00,109419.03,267887.97,1965.67,511
943,8679.00,269.00,362.00,255.00,464629.00,106864.67,357764.33,2380.22,648
944,4847.00,209.00,416.00,270.00,233471.00,11673.55,221797.45,1329.79,679
945,2816.00,499.00,491.00,275.00,232936.00,58234.00,174702.00,1281.90,523
946,5656.00,225.00,376.00,449.00,426128.00,115054.56,311073.44,1669.91,740
947,5572.00,277.00,457.00,210.00,466253.00,27975.18,438277.82,2092.41,782
948,3878.00,410.00,407.00,306.00,361590.00,75933.90,285656.10,1533.46,705
949,8004.00,247.00,440.00,245.00,361164.00,39728.04,321435.96,2358.58,538
950,3122.00,239.00,475.00,380.00,318120.00,41355.60,276764.40,2030.80,539
951,4938.00,439.00,366.00,230.00,469118.00,89132.42,379985.58,2278.21,664
952,4682.00,383.00,474.00,286.00,493313.00,123328.25,369984.75,2714.82,544
953,9403.00,363.00,429.00,323.00,483114.00,140103.06,343010.94,1446.15,838
954,6740.00,329.00,483.00,416.00,267853.00,13392.65,254460.35,1214.83,787
955,3160.00,437.00,484.00,345.00,492447.00,137885.16,354561.84,2358.91,615
956,7385.00,210.00,466.00,289.00,296603.00,47456.48,249146.52,1493.76,673
957,6174.00,284.00,497.00,299.00,356615.00,53492.25,303122.75,2016.68,604
958,3632.00,332.00,465.00,329.00,388629.00,19431.45,369197.55,2709.04,559
959,8910.00,237.00,428.00,381.00,394926.00,86883.72,308042.28,1298.72,805
960,2090.00,403.00,389.00,285.00,402055.00,36184.95,365870.05,2684.62,545
961,4399.00,400.00,405.00,224.00,430751.00,51690.12,379060.88,1598.14,813
962,4196.00,435.00,353.00,227.00,465327.00,79105.59,386221.41,2315.59,691
963,9891.00,354.00,361.00,436.00,347310.00,79881.30,267428.70,1779.21,607
964,2531.00,256.00,443.00,382.00,253480.00,12674.00,240806.00,1602.09,646
965,3887.00,318.00,438.00,382.00,252085.00,42854.45,209230.55,1123.19,748
966,7771.00,258.00,380.00,346.00,246702.00,71543.58,175158.42,1165.33,641
967,2439.00,446.00,374.00,398.00,475750.00,109422.50,366327.50,2687.98,515
968,6140.00,343.00,443.00,261.00,342263.00,88988.38,253274.62,1685.04,631
969,3181.00,344.00,440.00,242.00,417900.00,108654.00,309246.00,1660.10,732
970,6279.00,365.00,390.00,304.00,321096.00,89906.88,231189.12,1241.07,740
971,9805.00,356.00,399.00,204.00,346666.00,51999.90,294666.10,1581.83,705
972,2783.00,482.00,416.00,421.00,396897.00,79379.40,317517.60,1704.50,600
973,7653.00,414.00,477.00,219.00,249376.00,22443.84,226932.16,1509.79,602
974,8435.00,319.00,477.00,393.00,341330.00,17066.50,324263.50,1548.08,754
975,2644.00,306.00,474.00,276.00,281183.00,59048.43,222134.57,1192.47,732
976,5151.00,469.00,465.00,330.00,332989.00,43288.57,289700.43,1221.39,802
977,3151.00,366.00,467.00,284.00,235726.00,42430.68,193295.32,1158.90,686
978,8262.00,330.00,496.00,432.00,494237.00,49423.70,444813.30,2666.88,669
979,8730.00,493.00,430.00,241.00,439821.00,48380.31,391440.69,2872.25,567
980,2836.00,295.00,453.00,308.00,491284.00,58954.08,432329.92,1822.72,816
981,4330.00,469.00,479.00,306.00,352122.00,84509.28,267612.72,1604.47,677
982,8304.00,227.00,394.00,352.00,270425.00,51380.75,219044.25,1175.88,715
983,4860.00,470.00,411.00,309.00,261570.00,70623.90,190946.10,1401.09,520
984,8486.00,319.00,451.00,348.00,279978.00,30797.58,249180.42,1337.65,724
985,7619.00,389.00,482.00,358.00,473438.00,80484.46,392953.54,2355.96,684
986,7402.00,274.00,443.00,410.00,341204.00,34120.40,307083.60,2043.03,630
987,8278.00,234.00,378.00,357.00,452184.00,45218.40,406965.60,2986.17,587
988,7920.00,492.00,471.00,306.00,478098.00,109962.54,368135.46,2207.16,665
989,3097.00,485.00,361.00,356.00,391289.00,105648.03,285640.97,1363.69,794
990,4131.00,302.00,374.00,203.00,368791.00,40567.01,328223.99,1761.98,703
991,3069.00,229.00,467.00,302.00,369898.00,48086.74,321811.26,1727.55,719
992,5591.00,297.00,369.00,387.00,418790.00,25127.40,393662.60,2619.05,643
993,7239.00,454.00,425.00,415.00,384971.00,84693.62,300277.38,2203.33,588
994,3082.00,375.00,447.00,253.00,312790.00,68813.80,243976.20,1790.21,523
995,3561.00,335.00,461.00,396.00,464798.00,69719.70,395078.30,2898.94,582
996,7805.00,368.00,422.00,278.00,236860.00,23686.00,213174.00,1278.09,659
997,5666.00,375.00,399.00,306.00,429370.00,30055.90,399314.10,2143.60,746
998,8760.00,340.00,383.00,208.00,371174.00,85370.02,285803.98,1204.96,846
999,4010.00,303.00,408.00,447.00,416400.00,116592.00,299808.00,1609.43,744
1000,7228.00,438.00,394.00,351.00,425111.00,46762.21,378348.79,2517.16,631
1001,8200.00,281.00,355.00,352.00,483962.00,58075.44,425886.56,3125.00,545
1002,5840.00,389.00,359.00,330.00,326503.00,62035.57,264467.43,1585.62,651
1003,3085.00,379.00,416.00,426.00,369881.00,18494.05,351386.95,2578.35,592
1004,6812.00,475.00,390.00,331.00,477406.00,76384.96,401021.04,2942.55,573
1005,8710.00,312.00,484.00,424.00,491190.00,137533.20,353656.80,1491.03,844
1006,7271.00,237.00,366.00,288.00,472654.00,89804.26,382849.74,1614.11,835
1007,7863.00,423.00,408.00,407.00,410923.00,94512.29,316410.71,1510.59,770
1008,7553.00,484.00,422.00,300.00,315821.00,15791.05,300029.95,2201.51,591
1009,2592.00,207.00,361.00,392.00,486741.00,48674.10,438066.90,1846.91,834
1010,3828.00,430.00,362.00,340.00,421852.00,42185.20,379666.80,2525.93,612
1011,3387.00,386.00,373.00,212.00,264710.00,37059.40,227650.60,1222.08,727
1012,9698.00,452.00,486.00,323.00,319689.00,19181.34,300507.66,2205.02,554
1013,3008.00,335.00,350.00,253.00,296005.00,59201.00,236804.00,1737.58,561
1014,4396.00,260.00,442.00,324.00,315098.00,59868.62,255229.38,1218.50,775
1015,5917.00,447.00,465.00,386.00,332774.00,49916.10,282857.90,1350.41,790
1016,3010.00,440.00,485.00,327.00,240290.00,14417.40,225872.60,1657.37,508
1017,5247.00,450.00,369.00,272.00,284960.00,48443.20,236516.80,1735.48,546
1018,9847.00,333.00,472.00,207.00,478256.00,38260.48,439995.52,2361.99,730
1019,9806.00,415.00,371.00,399.00,459773.00,32184.11,427588.89,3137.50,579
1020,7486.00,270.00,367.00,404.00,427887.00,42788.70,385098.30,2825.71,571
1021,5118.00,275.00,426.00,337.00,270196.00,70250.96,199945.04,1198.77,688
1022,2738.00,327.00,374.00,206.00,323881.00,77731.44,246149.56,1806.16,541
1023,7820.00,208.00,413.00,312.00,247756.00,32208.28,215547.72,1292.32,654
1024,5199.00,445.00,484.00,281.00,353827.00,53074.05,300752.95,2000.92,624
1025,5031.00,230.00,439.00,223.00,434284.00,112913.84,321370.16,1354.91,820
1026,8364.00,457.00,446.00,275.00,481531.00,134828.68,346702.32,2078.66,667
1027,2408.00,247.00,351.00,325.00,391020.00,35191.80,355828.20,2133.37,799
1028,3359.00,357.00,491.00,419.00,387545.00,96886.25,290658.75,1387.65,778
1029,7412.00,239.00,487.00,216.00,282266.00,70566.50,211699.50,1408.44,608
1030,7572.00,382.00,486.00,286.00,413638.00,49636.56,364001.44,2421.71,650
1031,6002.00,370.00,392.00,206.00,497416.00,144250.64,353165.36,2117.40,675
1032,9707.00,457.00,469.00,336.00,244215.00,58611.60,185603.40,782.51,810
1033,8986.00,231.00,470.00,314.00,233082.00,58270.50,174811.50,1163.03,630
1034,8044.00,344.00,447.00,386.00,435301.00,21765.05,413535.95,2479.36,655
1035,2417.00,378.00,381.00,345.00,450246.00,130571.34,319674.66,2345.66,584
1036,6487.00,316.00,368.00,406.00,408023.00,48962.76,359060.24,1513.81,833
1037,9095.00,341.00,469.00,266.00,352064.00,59850.88,292213.12,1751.97,679
1038,7910.00,235.00,458.00,312.00,365445.00,54816.75,310628.25,1482.99,795
1039,4598.00,343.00,363.00,409.00,246136.00,49227.20,196908.80,830.18,816
1040,3575.00,299.00,467.00,256.00,377840.00,41562.40,336277.60,1605.44,766
1041,6856.00,277.00,496.00,364.00,435496.00,91454.16,344041.84,1846.89,730
1042,9118.00,266.00,374.00,304.00,328048.00,72170.56,255877.44,1534.11,669
1043,3629.00,347.00,393.00,329.00,242155.00,46009.45,196145.55,1052.95,708
1044,5137.00,272.00,389.00,235.00,477647.00,33435.29,444211.71,2384.62,702
1045,2391.00,489.00,456.00,344.00,234215.00,21079.35,213135.65,1418.00,630
1046,7242.00,454.00,366.00,271.00,400503.00,64080.48,336422.52,2238.23,639
1047,8656.00,404.00,353.00,267.00,437608.00,83145.52,354462.48,2600.92,532
1048,6414.00,494.00,395.00,383.00,354059.00,35405.90,318653.10,2338.16,564
1049,3486.00,413.00,379.00,358.00,246407.00,56673.61,189733.39,1137.55,695
1050,4487.00,276.00,493.00,442.00,454995.00,100098.90,354896.10,1905.16,732
1051,7092.00,206.00,361.00,427.00,461502.00,50765.22,410736.78,1960.92,764
1052,9718.00,262.00,436.00,252.00,405600.00,56784.00,348816.00,2091.33,686
1053,6324.00,396.00,457.00,410.00,341566.00,20493.96,321072.04,1532.85,786
1054,2784.00,285.00,447.00,279.00,427156.00,106789.00,320367.00,1350.68,826
1055,2653.00,380.00,438.00,444.00,433515.00,39016.35,394498.65,2894.69,584
1056,4346.00,253.00,359.00,332.00,375172.00,26262.04,348909.96,1873.02,708
1057,9215.00,438.00,420.00,269.00,361857.00,68752.83,293104.17,2150.69,507
1058,4782.00,466.00,396.00,248.00,316547.00,56978.46,259568.54,1904.62,574
1059,8009.00,441.00,423.00,417.00,268839.00,64521.36,204317.64,1499.21,590
1060,3378.00,446.00,474.00,309.00,442858.00,66428.70,376429.30,1587.04,841
1061,5622.00,286.00,447.00,294.00,388133.00,93151.92,294981.08,1243.65,839
1062,3273.00,411.00,433.00,344.00,498861.00,109749.42,389111.58,2088.84,730
1063,5319.00,297.00,437.00,209.00,273752.00,54750.40,219001.60,923.32,835
1064,3808.00,322.00,434.00,271.00,324592.00,51934.72,272657.28,2000.66,562
1065,3803.00,254.00,428.00,305.00,397292.00,99323.00,297969.00,1422.55,761
1066,6677.00,455.00,454.00,428.00,261607.00,23544.63,238062.37,1136.55,778
1067,3089.00,209.00,383.00,439.00,368873.00,47953.49,320919.51,2135.09,640
1068,4568.00,294.00,391.00,258.00,314236.00,43993.04,270242.96,1139.36,845
1069,4005.00,291.00,453.00,312.00,312496.00,87498.88,224997.12,948.60,817
1070,4292.00,363.00,377.00,298.00,230646.00,36903.36,193742.64,1421.61,530
1071,6483.00,322.00,458.00,355.00,259409.00,38911.35,220497.65,1183.68,710
1072,7899.00,244.00,437.00,285.00,287669.00,63287.18,224381.82,1204.53,721
1073,5618.00,442.00,372.00,379.00,267621.00,77610.09,190010.91,1020.02,714
1074,2557.00,311.00,399.00,372.00,254724.00,35661.36,219062.64,1175.98,729
1075,2740.00,456.00,485.00,317.00,251184.00,30142.08,221041.92,1186.60,700
1076,8446.00,487.00,495.00,217.00,454995.00,22749.75,432245.25,2591.53,689
1077,3681.00,424.00,495.00,348.00,251903.00,22671.27,229231.73,1525.08,623
1078,2804.00,202.00,410.00,440.00,450480.00,108115.20,342364.80,1837.89,738
1079,3153.00,304.00,455.00,298.00,396912.00,51598.56,345313.44,1455.86,810
1080,5342.00,342.00,472.00,381.00,257990.00,51598.00,206392.00,1237.42,656
1081,4688.00,454.00,446.00,382.00,487528.00,97505.60,390022.40,1644.35,821
1082,6230.00,239.00,399.00,250.00,260781.00,31293.72,229487.28,1683.90,510
1083,5320.00,357.00,401.00,413.00,479173.00,43125.57,436047.43,3199.56,559
1084,4315.00,418.00,375.00,267.00,348366.00,31352.94,317013.06,1513.47,774
1085,8181.00,225.00,419.00,370.00,384393.00,38439.30,345953.70,2538.49,598
1086,5011.00,429.00,495.00,203.00,290000.00,34800.00,255200.00,1075.93,801
1087,8249.00,270.00,480.00,202.00,414201.00,95266.23,318934.77,2340.23,563
1088,5245.00,306.00,442.00,231.00,256933.00,51386.60,205546.40,1508.23,599
1089,7922.00,229.00,381.00,206.00,487746.00,78039.36,409706.64,3006.28,563
1090,3679.00,457.00,445.00,261.00,309660.00,74318.40,235341.60,1410.99,682
1091,8250.00,405.00,472.00,350.00,299466.00,41925.24,257540.76,1889.74,537
1092,4239.00,322.00,470.00,366.00,474826.00,104461.72,370364.28,1988.20,722
1093,9656.00,444.00,467.00,376.00,331231.00,66246.20,264984.80,1422.50,742
1094,3867.00,309.00,470.00,448.00,446108.00,22305.40,423802.60,2819.57,610
1095,6392.00,365.00,426.00,376.00,337631.00,50644.65,286986.35,1370.12,763
1096,5744.00,465.00,480.00,236.00,305774.00,85616.72,220157.28,1051.06,699
1097,5192.00,337.00,372.00,323.00,423035.00,114219.45,308815.55,2054.56,605
1098,9931.00,406.00,415.00,388.00,436215.00,65432.25,370782.75,2223.03,694
1099,9189.00,223.00,475.00,402.00,350751.00,91195.26,259555.74,1726.83,628
1100,7762.00,251.00,437.00,348.00,340023.00,98606.67,241416.33,1017.82,817
1101,4605.00,318.00,407.00,254.00,424596.00,67935.36,356660.64,2617.05,536
1102,2498.00,282.00,426.00,308.00,431055.00,21552.75,409502.25,2198.30,716
1103,8885.00,489.00,350.00,438.00,381411.00,83910.42,297500.58,1783.67,681
1104,7234.00,390.00,416.00,229.00,457709.00,96118.89,361590.11,1524.48,825
1105,8143.00,236.00,382.00,255.00,330535.00,62801.65,267733.35,1437.25,713
1106,6928.00,454.00,483.00,336.00,317748.00,54017.16,263730.84,1935.16,506
1107,5523.00,317.00,477.00,234.00,497998.00,104579.58,393418.42,2886.76,557
1108,5185.00,439.00,365.00,364.00,425830.00,93682.60,332147.40,2209.78,630
1109,7487.00,447.00,494.00,392.00,266061.00,15963.66,250097.34,1342.58,707
1110,9493.00,216.00,365.00,337.00,403822.00,36343.98,367478.02,2696.42,535
1111,6482.00,428.00,420.00,407.00,389791.00,54570.74,335220.26,2459.73,547
1112,3294.00,411.00,359.00,229.00,371812.00,48335.56,323476.44,1363.79,807
1113,7519.00,281.00,439.00,208.00,302814.00,66619.08,236194.92,1571.41,613
1114,4876.00,270.00,465.00,254.00,412175.00,74191.50,337983.50,2248.61,613
1115,8300.00,282.00,454.00,366.00,485408.00,67957.12,417450.88,3063.11,570
1116,7069.00,415.00,397.00,406.00,498211.00,69749.54,428461.46,2568.84,681
1117,8005.00,438.00,367.00,243.00,359726.00,61153.42,298572.58,2190.82,590
1118,3469.00,253.00,376.00,334.00,239870.00,35980.50,203889.50,1094.52,726
1119,5788.00,229.00,424.00,330.00,315985.00,31598.50,284386.50,1198.98,818
1120,8512.00,230.00,390.00,387.00,282122.00,81815.38,200306.62,956.29,768
1121,3434.00,225.00,450.00,290.00,388461.00,77692.20,310768.80,1668.27,707
1122,2840.00,359.00,428.00,449.00,475084.00,47508.40,427575.60,2041.31,770
1123,7341.00,316.00,375.00,359.00,309007.00,37080.84,271926.16,1995.30,515
1124,8670.00,315.00,493.00,226.00,446273.00,22313.65,423959.35,3110.86,595
1125,4861.00,253.00,461.00,261.00,240021.00,52804.62,187216.38,1245.56,643
1126,5512.00,245.00,416.00,356.00,319616.00,83100.16,236515.84,1129.16,774
1127,7090.00,282.00,444.00,242.00,440838.00,26450.28,414387.72,1978.35,794
1128,4341.00,445.00,361.00,244.00,422846.00,71883.82,350962.18,2575.24,513
1129,2464.00,474.00,365.00,266.00,284394.00,25595.46,258798.54,1898.97,598
1130,7445.00,304.00,472.00,278.00,452987.00,90597.40,362389.60,1527.85,827
1131,9613.00,238.00,364.00,394.00,347843.00,93917.61,253925.39,1070.56,844
1132,2771.00,434.00,350.00,376.00,339214.00,23744.98,315469.02,2098.82,605
1133,6580.00,488.00,363.00,334.00,298197.00,41747.58,256449.42,1376.68,718
1134,9033.00,323.00,445.00,332.00,418380.00,41838.00,376542.00,1797.67,785
1135,2168.00,287.00,490.00,410.00,248638.00,19891.04,228746.96,1678.46,534
1136,9711.00,241.00,360.00,315.00,484970.00,135791.60,349178.40,1874.47,722
1137,5569.00,326.00,442.00,334.00,328160.00,91884.80,236275.20,1733.70,556
1138,5358.00,330.00,484.00,312.00,243215.00,46210.85,197004.15,1445.55,541
1139,3019.00,486.00,440.00,276.00,270939.00,65025.36,205913.64,983.06,766
1140,2867.00,286.00,467.00,242.00,391696.00,70505.28,321190.72,2136.89,639
1141,2530.00,385.00,494.00,428.00,443276.00,53193.12,390082.88,2862.29,570
1142,5279.00,276.00,445.00,376.00,431994.00,51839.28,380154.72,2789.44,525
1143,8079.00,338.00,469.00,239.00,247129.00,59310.96,187818.04,1126.06,696
1144,8531.00,378.00,380.00,441.00,460472.00,32233.04,428238.96,2567.51,690
1145,3786.00,329.00,408.00,284.00,355488.00,95981.76,259506.24,1904.16,549
1146,3796.00,417.00,369.00,384.00,268135.00,48264.30,219870.70,1318.24,661
1147,4671.00,338.00,375.00,296.00,275794.00,49642.92,226151.08,1659.42,585
1148,2925.00,379.00,422.00,234.00,393639.00,47236.68,346402.32,1460.45,807
1149,6584.00,278.00,398.00,245.00,272861.00,35471.93,237389.07,1423.27,656
1150,5201.00,364.00,408.00,359.00,312730.00,81309.80,231420.20,1387.48,684
1151,7173.00,277.00,382.00,385.00,483788.00,48378.80,435409.20,2610.50,673
1152,7334.00,309.00,355.00,389.00,357765.00,78708.30,279056.70,1673.09,691
1153,6291.00,283.00,355.00,285.00,288062.00,25925.58,262136.42,1407.20,723
1154,9614.00,240.00,430.00,329.00,472622.00,122881.72,349740.28,2566.27,591
1155,4250.00,494.00,437.00,238.00,493097.00,103550.37,389546.63,2091.17,739
1156,7953.00,231.00,431.00,391.00,257354.00,59191.42,198162.58,835.46,841
1157,9863.00,381.00,370.00,325.00,456609.00,109586.16,347022.84,2308.75,612
1158,2527.00,336.00,381.00,276.00,279805.00,58759.05,221045.95,931.94,838
1159,2546.00,364.00,458.00,218.00,330713.00,76063.99,254649.01,1868.52,534
1160,5212.00,217.00,356.00,299.00,356037.00,49845.18,306191.82,1835.77,675
1161,3854.00,237.00,478.00,304.00,479097.00,129356.19,349740.81,2566.27,515
1162,7623.00,314.00,366.00,326.00,389099.00,101165.74,287933.26,1915.63,622
1163,9458.00,293.00,482.00,442.00,331528.00,19891.68,311636.32,2286.68,594
1164,9371.00,410.00,375.00,363.00,293536.00,49901.12,243634.88,1027.17,833
1165,7829.00,228.00,407.00,304.00,290378.00,17422.68,272955.32,2002.85,507
1166,8902.00,384.00,445.00,439.00,447306.00,49203.66,398102.34,1900.60,777
1167,5867.00,273.00,434.00,264.00,376121.00,33850.89,342270.11,1837.38,717
1168,6805.00,285.00,465.00,290.00,426709.00,68273.44,358435.56,1711.23,787
1169,7846.00,433.00,395.00,384.00,309644.00,46446.60,263197.40,1412.90,738
1170,6582.00,230.00,356.00,443.00,313821.00,53349.57,260471.43,1098.16,848
1171,5639.00,230.00,438.00,438.00,236038.00,42486.84,193551.16,1039.02,737
1172,2661.00,472.00,394.00,245.00,287707.00,51787.26,235919.74,1126.32,765
1173,6513.00,282.00,475.00,227.00,492119.00,54133.09,437985.91,3213.79,510
1174,3586.00,304.00,486.00,326.00,390096.00,93623.04,296472.96,2175.41,550
1175,3015.00,449.00,413.00,267.00,311321.00,15566.05,295754.95,1246.91,821
1176,5501.00,439.00,457.00,301.00,357378.00,85770.72,271607.28,1992.96,564
1177,4916.00,275.00,423.00,379.00,296774.00,80128.98,216645.02,1441.34,646
1178,6887.00,327.00,480.00,420.00,421572.00,80098.68,341473.32,1630.25,762
1179,7507.00,412.00,483.00,257.00,282862.00,59401.02,223460.98,942.12,802
1180,4075.00,207.00,435.00,377.00,410391.00,69766.47,340624.53,2499.38,514
1181,6959.00,373.00,438.00,214.00,361431.00,97586.37,263844.63,1936.00,534
1182,5702.00,306.00,469.00,435.00,334978.00,33497.80,301480.20,1618.41,723
1183,8155.00,319.00,395.00,254.00,298337.00,17900.22,280436.78,1681.36,676
1184,4152.00,399.00,414.00,404.00,447317.00,84990.23,362326.77,2658.63,521
1185,6066.00,239.00,351.00,335.00,395771.00,43534.81,352236.19,2111.83,673
1186,3317.00,476.00,467.00,211.00,263472.00,15808.32,247663.68,1817.27,511
1187,3528.00,432.00,440.00,380.00,234622.00,65694.16,168927.84,806.49,754
1188,6145.00,490.00,402.00,384.00,417512.00,70977.04,346534.96,1860.27,732
1189,8009.00,355.00,359.00,339.00,283342.00,31167.62,252174.38,1353.73,720
1190,8170.00,269.00,373.00,341.00,410237.00,86149.77,324087.23,2378.04,589
1191,2879.00,467.00,381.00,261.00,464860.00,111566.40,353293.60,1489.50,839
1192,8450.00,314.00,359.00,255.00,443867.00,124282.76,319584.24,2345.00,596
1193,2326.00,391.00,424.00,442.00,342294.00,71881.74,270412.26,1290.99,791
1194,5232.00,320.00,414.00,266.00,424169.00,84833.80,339335.20,1620.04,798
1195,8838.00,327.00,469.00,351.00,379366.00,49317.58,330048.42,2195.82,616
1196,6515.00,398.00,424.00,326.00,242335.00,26656.85,215678.15,909.31,828
1197,7331.00,273.00,471.00,306.00,253368.00,32937.84,220430.16,1183.32,745
1198,9464.00,403.00,402.00,248.00,261537.00,31384.44,230152.56,1235.51,600
1199,7766.00,422.00,437.00,304.00,340089.00,57815.13,282273.87,2071.23,570
1200,3793.00,473.00,402.00,431.00,355867.00,71173.40,284693.60,1894.07,642
1201,7334.00,468.00,469.00,402.00,347113.00,86778.25,260334.75,1732.01,639
1202,7484.00,351.00,401.00,343.00,350360.00,59561.20,290798.80,2133.78,529
1203,2698.00,470.00,431.00,414.00,308157.00,15407.85,292749.15,2148.09,540
1204,3135.00,443.00,447.00,380.00,376593.00,18829.65,357763.35,2380.21,647
1205,3141.00,228.00,432.00,239.00,395193.00,55327.02,339865.98,1432.89,834
1206,9962.00,447.00,378.00,425.00,256065.00,12803.25,243261.75,1784.97,544
1207,5180.00,369.00,363.00,232.00,487204.00,34104.28,453099.72,1910.29,843
1208,9813.00,216.00,413.00,246.00,283694.00,19858.58,263835.42,1259.59,784
1209,6088.00,419.00,365.00,435.00,305433.00,73303.92,232129.08,978.67,815
1210,5819.00,281.00,408.00,373.00,392288.00,47074.56,345213.44,2533.05,539
1211,7326.00,352.00,400.00,351.00,496906.00,49690.60,447215.40,3281.51,501
1212,3085.00,320.00,442.00,253.00,316378.00,69603.16,246774.84,1641.80,608
1213,8359.00,455.00,398.00,406.00,394389.00,90709.47,303679.53,2020.39,606
